		A	A	A	b
		x	y	z	b
accel	x	1.0	0.0	0.0	0.0
accel	y	0.0	1.0	0.0	0.0
accel	z	0.0	0.0	1.0	0.0
gyro	x	1.0	0.0	0.0	-0.0030561354863933334
gyro	y	0.0	1.0	0.0	-0.004884767138011981
gyro	z	0.0	0.0	1.0	-0.002030705708230303
mag	x	0.9413662308420987	-0.0057170066039305	-0.0005893947642651736	112.66759142851706
mag	y	-0.005717006603930553	0.9298118329066718	0.033002700493268596	54.986534246090955
mag	z	-0.0005893947642651843	0.033002700493268616	0.8906024869236279	-415.32986327562753
