,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1773726884823,-0.8775677,3.0756743,9.169894,0.042759307,-0.028098974,-0.03420745,83.25,42.675003,-452.7,0.9918801,0.123840995,0.028712848,-0.0035849367
1773726884828,-0.91106725,3.0972097,9.150752,0.046424393,-0.009773556,-0.023212196,82.950005,42.75,-451.27502,0.9916279,0.12564625,0.029550623,-0.0037442727
1773726884833,-0.8919246,3.1043882,9.119645,0.0452027,-0.002443389,-0.01343864,82.950005,42.75,-451.27502,0.99138,0.1274046,0.030307673,-0.003894911
1773726884838,-0.86560357,3.0972097,9.117252,0.0452027,0.004886778,-0.0036650836,83.475006,42.9,-452.02502,0.9911445,0.12906408,0.030965805,-0.004032281
1773726884843,-0.87278205,3.1259236,9.090932,0.043981,0.01099525,0.004886778,83.475006,42.9,-452.02502,0.9909053,0.13072845,0.031612135,-0.004170535
1773726884848,-0.82013994,3.0924242,9.062218,0.036650836,0.01099525,0.01343864,83.4,43.350002,-451.80002,0.9906857,0.13225976,0.03210894,-0.0042866473
1773726884853,-0.82971126,3.0421748,9.055039,0.031764057,0.01343864,0.017103724,83.4,43.350002,-451.80002,0.99048793,0.13360798,0.032609023,-0.0043986663
1773726884858,-0.8249256,3.0326035,9.02154,0.02443389,0.009773556,0.020768806,83.25,42.075,-451.42502,0.99029744,0.1348949,0.033080187,-0.004506069
1773726884863,-0.7579266,2.98714,9.040682,0.014660334,0.0061084726,0.0219905,83.175,42.45,-451.05002,0.99013585,0.1360026,0.03336717,-0.004583231
1773726884868,-0.7507481,3.0182467,9.023932,0.0036650836,0.0036650836,0.023212196,83.175,42.45,-451.05002,0.98996985,0.13714038,0.033623848,-0.0046579065
1773726884873,-0.74117684,3.0038898,9.019147,-0.004886778,0.004886778,0.02443389,83.925,42.45,-451.50003,0.98981535,0.13819435,0.033846878,-0.0047255754
1773726884878,-0.7052845,2.9919257,9.026325,-0.014660334,0.004886778,0.029320668,83.925,42.45,-451.50003,0.98967475,0.1391655,0.033972804,-0.0047771684
1773726884883,-0.68853474,2.9656045,9.057432,-0.019547112,0.007330167,0.03420745,84.15,42.675003,-453.075,0.98955315,0.14000733,0.03404919,-0.0048174635
1773726884888,-0.67178494,2.9440691,9.136395,-0.02443389,0.01343864,0.03787253,84.15,42.675003,-453.075,0.9894537,0.14070253,0.03407117,-0.0048449966
1773726884893,-0.6430711,2.865106,9.184252,-0.025655584,0.017103724,0.04031592,84.15,42.675003,-453.075,0.9893911,0.1411531,0.03402184,-0.0048537813
1773726884898,-0.6263213,2.8890343,9.227323,-0.02687728,0.020768806,0.041537613,84.15,42.675003,-453.075,0.9893296,0.14160593,0.03392827,-0.004856263
1773726884903,-0.5832505,2.8292136,9.270393,-0.02687728,0.020768806,0.042759307,82.275,42.300003,-451.65002,0.9892978,0.14187457,0.03373609,-0.0048380713
1773726884908,-0.5832505,2.7885356,9.28475,-0.02687728,0.018325418,0.041537613,82.275,42.300003,-451.65002,0.98928183,0.14203002,0.033553086,-0.0048171766
1773726884913,-0.5617151,2.7454648,9.320642,-0.028098974,0.015882028,0.04031592,83.100006,42.9,-451.725,0.9892856,0.14205863,0.03332635,-0.00478557
