,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1773726884888,-0.67178494,2.9440691,9.136395,-0.02443389,0.01343864,0.03787253,84.15,42.675003,-453.075,,,,
1773726884893,-0.6430711,2.865106,9.184252,-0.025655584,0.017103724,0.04031592,84.15,42.675003,-453.075,,,,
1773726884898,-0.6263213,2.8890343,9.227323,-0.02687728,0.020768806,0.041537613,84.15,42.675003,-453.075,,,,
1773726884903,-0.5832505,2.8292136,9.270393,-0.02687728,0.020768806,0.042759307,82.275,42.300003,-451.65002,,,,
1773726884908,-0.5832505,2.7885356,9.28475,-0.02687728,0.018325418,0.041537613,82.275,42.300003,-451.65002,,,,
1773726884913,-0.5617151,2.7454648,9.320642,-0.028098974,0.015882028,0.04031592,83.100006,42.9,-451.725,,,,
1773726884918,-0.53300124,2.7263224,9.320642,-0.029320668,0.01099525,0.03787253,83.100006,42.9,-451.725,,,,
1773726884923,-0.49950173,2.7287152,9.342177,-0.031764057,0.0061084726,0.03298575,83.175,43.2,-452.7,,,,
1773726884928,-0.49950173,2.714358,9.375677,-0.03298575,0.0,0.029320668,83.175,43.2,-452.7,,,,
1773726884933,-0.46121657,2.635395,9.390035,-0.031764057,-0.0036650836,0.020768806,83.100006,42.9,-452.02502,,,,
1773726884938,-0.44925246,2.6880372,9.385248,-0.028098974,-0.004886778,0.01343864,83.100006,42.9,-452.02502,,,,
1773726884943,-0.45164528,2.6880372,9.370892,-0.023212196,-0.0061084726,0.0,82.875,42.75,-451.42502,,,,
1773726884948,-0.43728834,2.755036,9.351749,-0.019547112,-0.007330167,-0.0061084726,82.875,42.75,-451.42502,,,,
1773726884953,-0.47318068,2.759822,9.3613205,-0.012216945,-0.002443389,-0.01099525,82.875,43.050003,-451.42502,,,,
1773726884958,-0.48993045,2.824428,9.368499,-0.01099525,0.0,-0.015882028,82.875,43.050003,-451.42502,,,,
1773726884963,-0.48275197,2.8316064,9.354142,-0.0061084726,0.0036650836,-0.018325418,82.65,42.825,-451.80002,,,,
1773726884968,-0.4851448,2.8292136,9.339785,-0.004886778,0.0061084726,-0.0219905,82.65,42.825,-451.80002,,,,
1773726884973,-0.52582276,2.8770702,9.332606,-0.004886778,0.008551862,-0.02443389,82.275,43.125,-452.62503,,,,
1773726884978,-0.5282156,2.8866415,9.334999,-0.002443389,0.01343864,-0.02687728,82.950005,42.975002,-452.40002,,,,
1773726884983,-0.60000026,2.891427,9.342177,-0.0036650836,0.015882028,-0.02687728,82.950005,42.975002,-452.40002,,,,
1773726884988,-0.5952146,2.879463,9.37807,-0.004886778,0.017103724,-0.02687728,83.850006,42.825,-451.35,,,,
1773726884993,-0.61435723,2.9368906,9.4019985,-0.0036650836,0.018325418,-0.02687728,83.850006,42.825,-451.35,,,,
1773726884998,-0.657428,2.9225338,9.421141,0.0,0.017103724,-0.02687728,83.850006,42.375,-450.00003,,,,
1773726885003,-0.71007013,2.9153552,9.461819,0.0036650836,0.017103724,-0.023212196,83.850006,42.375,-450.00003,,,,
1773726885008,-0.74596244,2.905784,9.4737835,0.009773556,0.017103724,-0.023212196,85.5,40.425003,-445.95,,,,
1773726885013,-0.74835527,2.9225338,9.497711,0.017103724,0.014660334,-0.0219905,85.5,40.425003,-445.95,,,,
1773726885018,-0.76510507,2.9344978,9.4737835,0.023212196,0.01343864,-0.019547112,87.450005,40.350002,-446.475,,,,
1773726885023,-0.8033902,2.9440691,9.476176,0.029320668,0.009773556,-0.019547112,87.450005,40.350002,-446.475,,,,
1773726885028,-0.8177471,2.948855,9.447462,0.03420745,0.004886778,-0.017103724,84.825005,41.7,-450.15002,,,,
1773726885033,-0.8153543,2.9225338,9.425926,0.036650836,0.0,-0.015882028,84.825005,41.7,-450.15002,,,,
1773726885038,-0.8009974,2.9656045,9.41157,0.04031592,-0.0036650836,-0.014660334,85.65,40.65,-448.12503,,,,
1773726885043,-0.80817586,2.932105,9.368499,0.041537613,-0.0061084726,-0.01099525,85.65,40.65,-448.12503,,,,
1773726885048,-0.7722835,2.946462,9.323035,0.04031592,-0.01099525,-0.007330167,86.55,40.425003,-447.75003,,,,
1773726885053,-0.75553375,2.8866415,9.311071,0.041537613,-0.0061084726,-0.004886778,86.55,40.425003,-447.75003,,,,
1773726885058,-0.7076773,2.905784,9.270393,0.042759307,-0.002443389,-0.004886778,85.575005,40.875,-447.45,,,,
1773726885063,-0.69332033,2.8531418,9.282357,0.046424393,-0.0012216945,-0.004886778,85.575005,40.875,-447.45,,,,
1773726885068,-0.67417777,2.8722844,9.263215,0.047646087,0.0012216945,-0.0061084726,83.25,43.425003,-453.075,,,,
1773726885073,-0.6358926,2.8698916,9.2488575,0.052532863,0.0,-0.007330167,83.25,42.600002,-452.25003,,,,
1773726885078,-0.6358926,2.862713,9.210572,0.05375456,0.0036650836,-0.009773556,83.25,42.600002,-452.25003,,,,
1773726885083,-0.6095716,2.8603203,9.160323,0.054976255,0.008551862,-0.01099525,83.700005,42.825,-451.27502,,,,
1773726885088,-0.5712864,2.8746774,9.153145,0.052532863,0.01343864,-0.01343864,83.700005,42.825,-451.27502,,,,
1773726885093,-0.53300124,2.850749,9.172287,0.050089475,0.014660334,-0.01343864,83.100006,42.45,-450.975,,,,
1773726885098,-0.49950173,2.865106,9.184252,0.046424393,0.019547112,-0.020768806,83.100006,42.45,-450.975,,,,
1773726885103,-0.4755735,2.8459635,9.181859,0.043981,0.019547112,-0.02443389,83.25,42.300003,-451.80002,,,,
1773726885108,-0.4660022,2.862713,9.193823,0.04031592,0.018325418,-0.030542362,83.25,42.300003,-451.80002,,,,
1773726885113,-0.46121657,2.8866415,9.229715,0.036650836,0.019547112,-0.036650836,83.25,42.300003,-451.80002,,,,
1773726885118,-0.42771706,2.879463,9.253643,0.030542362,0.020768806,-0.039094225,83.25,42.300003,-451.80002,,,,
1773726885123,-0.41814575,2.8579276,9.272786,0.030542362,0.020768806,-0.0452027,83.55,42.600002,-452.02502,,,,
1773726885128,-0.43728834,2.8196423,9.320642,0.031764057,0.019547112,-0.050089475,83.55,42.600002,-452.02502,,,,
1773726885133,-0.44685963,2.8268209,9.351749,0.031764057,0.017103724,-0.05619795,83.325005,42.9,-452.25003,,,,
1773726885138,-0.49232325,2.8220353,9.337392,0.03420745,0.015882028,-0.06230642,83.325005,42.9,-452.25003,,,,
1773726885143,-0.50428736,2.8842485,9.34457,0.03298575,0.018325418,-0.06352811,82.875,42.075,-451.42502,,,,
1773726885148,-0.5066802,2.8531418,9.3613205,0.031764057,0.017103724,-0.06352811,82.875,42.075,-451.42502,,,,
1773726885153,-0.5066802,2.8339994,9.373284,0.03298575,0.018325418,-0.06230642,83.4,42.075,-451.2,,,,
1773726885158,-0.53300124,2.8674989,9.368499,0.03420745,0.018325418,-0.06352811,83.4,42.075,-451.2,,,,
1773726885163,-0.49950173,2.8172495,9.399606,0.03420745,0.017103724,-0.067193195,83.175,42.600002,-452.475,,,,
