,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
0.19,1.2951152,1.3217354,7.289136,-1.1545013,-0.43492326,0.26510772,86.625,36.9,-459.225,0.35242015,-0.91472733,-0.07106564,-0.18445508
0.195,1.3357933,1.3719847,7.155138,-1.0946383,-0.3994941,0.27732465,86.625,36.9,-459.225,0.34028322,-0.92201287,-0.06393678,-0.17323962
0.2,1.2855439,1.5011971,7.033104,-1.0298885,-0.3591782,0.28831992,85.65,36.600002,-459.30002,0.328906,-0.9286302,-0.05731027,-0.16180928
0.205,1.3405789,1.6016957,6.8249283,-0.9394831,-0.29687178,0.30053684,85.65,36.600002,-459.30002,0.31827667,-0.9346099,-0.051178377,-0.15028377
0.21,1.2759727,1.7333009,6.554539,-0.87717664,-0.24922568,0.30053684,86.175,38.100002,-459.225,0.3083813,-0.9399837,-0.04552836,-0.13877597
0.215,1.2137593,1.8122641,6.446862,-0.8173136,-0.21135315,0.29809347,86.175,38.100002,-459.225,0.29920453,-0.9447857,-0.04034389,-0.12739223
0.22,1.1659029,1.8577276,6.372685,-0.7660025,-0.18447587,0.2895416,86.25,38.25,-459.225,0.29072958,-0.94905144,-0.03560636,-0.11623265
0.225,1.1180464,2.030011,6.1453667,-0.72202146,-0.16737215,0.2699945,86.25,38.25,-459.225,0.28293782,-0.95281655,-0.031295873,-0.10539144
0.23,1.0797613,2.0754745,6.006583,-0.68170553,-0.16126367,0.24189551,85.275,38.025,-459.15002,0.275809,-0.9561182,-0.027392218,-0.09495775
0.235,1.0654043,2.0563319,5.858228,-0.6377245,-0.16492876,0.20646638,85.125,39.075,-458.7,0.26932064,-0.9589936,-0.023875589,-0.08501591
0.24,1.015155,2.0946171,5.788836,-0.59130013,-0.16981554,0.16126367,85.125,39.075,-458.7,0.26344767,-0.96147984,-0.020727132,-0.075645834
0.245,0.9912268,2.149652,5.712266,-0.5473192,-0.1808108,0.10995251,84.825005,39.300003,-458.92502,0.25816208,-0.9636141,-0.017929377,-0.06692307
0.25,0.96490574,2.2214367,5.6596236,-0.47279578,-0.20402299,0.025655584,84.825005,39.300003,-458.92502,0.25343245,-0.96543324,-0.015466436,-0.058918305
0.255,0.9768698,2.2429721,5.5016975,-0.41904122,-0.20890976,-0.042759307,84.225006,40.425003,-460.42502,0.24922372,-0.96697336,-0.013324032,-0.051696457
0.26,0.8859426,2.3171496,5.3533425,-0.36528665,-0.20768806,-0.10995251,84.225006,40.425003,-460.42502,0.24549678,-0.9682695,-0.011489267,-0.045315087
0.265,0.77826554,2.4128625,5.1906304,-0.32008398,-0.19913621,-0.17348062,84.825005,39.75,-458.85,0.24220867,-0.9693555,-0.009950233,-0.039822325
0.27,0.66341007,2.566003,4.903492,-0.2870982,-0.18936265,-0.23578705,84.825005,39.75,-458.85,0.23931277,-0.9702634,-0.008695379,-0.035254315
0.275,0.60358953,2.652145,4.752744,-0.26510772,-0.16248538,-0.29809347,85.200005,40.65,-459.75003,0.23675929,-0.9710226,-0.0077127926,-0.03163253
0.28,0.46002015,2.7095726,4.7096734,-0.24922568,-0.13805148,-0.3591782,85.200005,40.65,-459.75003,0.23449641,-0.9716604,-0.0069894223,-0.028961403
0.285,0.34277186,2.8268209,4.657031,-0.25166908,-0.11728267,-0.4202629,84.825005,40.050003,-459.67502,0.23247135,-0.97220033,-0.006510385,-0.027226573
0.29,0.13459627,2.905784,4.673781,-0.26144263,-0.09773556,-0.47646087,84.825005,40.050003,-459.67502,0.23063187,-0.9726628,-0.0062584784,-0.026394397
0.295,-0.09272188,3.015854,4.755137,-0.28221142,-0.083075225,-0.5289937,84.9,39.600002,-460.05002,0.22892804,-0.9730651,-0.0062140045,-0.026412804
0.3,-0.35593235,3.1283164,4.9417768,-0.3115321,-0.070858285,-0.56930965,84.9,39.600002,-460.05002,0.22731344,-0.9734205,-0.006354904,-0.0272135
0.305,-0.61675006,3.2527432,5.212166,-0.34573954,-0.0659715,-0.6022954,84.9,40.725002,-460.65002,0.22574674,-0.9737399,-0.0066572195,-0.028715366
0.31,-0.84406817,3.3149567,5.425127,-0.38605547,-0.06474981,-0.6242859,84.9,40.725002,-460.65002,0.22419235,-0.9740313,-0.0070957704,-0.030828452
0.315,-1.035494,3.350849,5.7577295,-0.4422534,-0.06352811,-0.65116316,84.525,40.2,-459.825,0.22262119,-0.97430074,-0.007644962,-0.03345815
0.32,-1.2771691,3.3628132,6.274579,-0.47279578,-0.043981,-0.6682669,84.525,40.2,-459.825,0.22101071,-0.9745526,-0.008279595,-0.036509097
0.325,-1.5810575,3.365206,6.793822,-0.49845135,-0.02443389,-0.67926216,84.525,40.275,-460.2,0.21934485,-0.9747903,-0.008975591,-0.039888415
0.33,-1.8969102,3.3436706,7.435098,-0.51433337,-0.002443389,-0.6804838,84.525,40.275,-460.2,0.21761362,-0.9750165,-0.009710594,-0.04350826
0.335,-2.1649063,3.3173494,8.212766,-0.51189,0.012216945,-0.67437536,84.15,39.825,-459.6,0.21581253,-0.975233,-0.010464417,-0.047287546
0.34,-2.3874388,3.2671003,8.971291,-0.50211644,0.015882028,-0.65849334,84.825005,40.725002,-460.65002,0.21394211,-0.9754415,-0.011219317,-0.05115303
0.345,-2.6482565,3.2455647,9.727423,-0.47279578,0.018325418,-0.64016795,84.825005,40.725002,-460.65002,0.21200725,-0.97564363,-0.011960152,-0.05503984
0.35,-2.818147,3.3005998,10.567303,-0.4202629,0.01099525,-0.61939913,84.600006,40.95,-460.95,0.21001652,-0.9758404,-0.01267439,-0.058891468
