t_ms,t_sec_rel,q_w,q_x,q_y,q_z,roll_deg,pitch_deg,yaw_deg
,0.185,0.9984854065249662,0.05445062528353437,-0.00773519239886214,-0.00147958151443169,6.244526266564819,-0.8758473791516296,-0.21758106839717326
,0.19,0.9984030373897332,0.05589357015275409,-0.008077980951083141,-0.001424770257848531,6.4102019614200865,-0.9151035227002909,-0.21477272337727343
,0.195,0.9983184463547033,0.057336636721513824,-0.008420999106746813,-0.0013698654827260207,6.575905723610642,-0.9543964735814289,-0.21206940895507764
,0.2,0.99823157004821,0.05878087959728891,-0.008764240306243724,-0.0013148553948295792,6.741759133805501,-0.9937251379001856,-0.20947095408223754
,0.205,0.9981423403104688,0.060227331039041196,-0.00910769802619915,-0.0012597270012441185,6.907881250917664,-1.033088456864434,-0.20697719105294318
,0.21,0.99805249837373,0.06165134285072769,-0.009413602427327722,-0.0013063322693863389,7.071537869547104,-1.0674514446627126,-0.21594560613168257
,0.215,0.9979601156182146,0.06308173847562933,-0.00971967437165081,-0.0013527144123232546,7.2359497332560645,-1.1018102600563107,-0.22499560635427526
,0.22,0.9978651484019749,0.06451875657928097,-0.010025908240867309,-0.0013988631505062864,7.401144911815829,-1.1361639955080785,-0.2341269753436886
,0.225,0.9977675540181855,0.06596259851109529,-0.010332298394297461,-0.001444768535933251,7.567147210521112,-1.1705117422347597,-0.24333952105899648
,0.23,0.9976672904544882,0.067413435634469,-0.010638839164617634,-0.0014904208756606062,7.733977010780482,-1.2048525897809792,-0.2526330693860911
,0.235,0.9975643161944944,0.06887141516382767,-0.010945524854024054,-0.001535810669480017,7.901651939567116,-1.2391856256290863,-0.262007459011214
,0.24,0.9974618017292649,0.07029404333463381,-0.011227265005209642,-0.0016279076079207045,8.065338268066856,-1.2702753775878488,-0.27657681536046885
,0.245,0.9973566151272886,0.07172422443846128,-0.011509139072270497,-0.0017197698549828837,8.229919312665885,-1.3013410716688538,-0.291220046678464
,0.25,0.9972487181062368,0.0731620263332469,-0.01179114102606805,-0.0018113894070373618,8.395403579073305,-1.3323816412295015,-0.3059370094257176
,0.255,0.9971380722920882,0.07460751017334355,-0.01207326478299175,-0.0019027582170218057,8.561798818226176,-1.3633960137992658,-0.32072755011549725
,0.26,0.99702463916616,0.07606073166276249,-0.012355504205186088,-0.0019938681876172106,8.729112170246092,-1.394383111278109,-0.33559150515488256
,0.265,0.9969083800238783,0.0775217420245737,-0.012637853100764365,-0.002084711165971223,8.897350275844309,-1.4253418501222592,-0.3505287006928297
,0.27,0.9967896740611979,0.0790175413789504,-0.012735204149739153,-0.0020948543293684016,9.069393851826288,-1.4358438342799666,-0.35470962079129315
,0.275,0.9966681278107256,0.08052042291552418,-0.012832603772183943,-0.002104466724568581,9.242273217007394,-1.44634430047943,-0.3588732426870338
,0.28,0.9965437023148821,0.08203045864701089,-0.012930049301982324,-0.0021135410468886523,9.415997343209636,-1.4568430917306914,-0.3630190794176001
,0.285,0.9964163582705315,0.08354771715242182,-0.013027538066103617,-0.002122070085264766,9.590574824761921,-1.467340055377469,-0.36714665233218785
,0.29,0.9962860560272642,0.08507226382779684,-0.013125067384714048,-0.002130046713004411,9.766013907486684,-1.4778350431631713,-0.3712554902370841
,0.295,0.9961527555856228,0.08660416111439684,-0.013222634571295997,-0.0021374638793861147,9.942322515107662,-1.4883279113001673,-0.37534512862131864
,0.3,0.996018655004654,0.08810409599790249,-0.013407194884021345,-0.0021804303369828614,10.115087826567473,-1.508395259977708,-0.38435905559755074
,0.305,0.9958815223292947,0.08961202652227677,-0.013591729363942063,-0.0022233035228200835,10.288801299741458,-1.528433591123053,-0.39343611923248645
,0.31,0.9957413171890471,0.09112798419613584,-0.013776234177323512,-0.002266078300048629,10.463467388123448,-1.5484421897773184,-0.4025761909209773
,0.315,0.9955979988730335,0.09265199954061287,-0.013960705459320271,-0.0023087494917054066,10.639090448771261,-1.5684203379030939,-0.41177913507215946
,0.32,0.9954515263262737,0.09418410216656248,-0.014145139314017181,-0.0023513118801515194,10.815674751420262,-1.5883673144595214,-0.4210448090179386
,0.325,0.9953018581464552,0.09572432083992277,-0.014329531814490183,-0.002393760206606636,10.99322448624129,-1.608282395481794,-0.430373062923227
,0.33,0.9951562296362672,0.09722522830851718,-0.014353946408274287,-0.0023016991537416764,11.165943880073998,-1.611442633164508,-0.42256872285585184
,0.335,0.9950075803123019,0.09873346531067016,-0.014378328393580149,-0.0022094391621494225,11.339532643659881,-1.6146254369669748,-0.4147641026893153
,0.34,0.9948558697967372,0.10024908776249325,-0.014402678172871613,-0.002116977849162039,11.513998007452082,-1.6178311121373636,-0.4069591680095415
,0.345,0.9947010574144308,0.10177214902431563,-0.014426996180473599,-0.0020243129189752083,11.689346926097183,-1.621059971279743,-0.39915389341698265
,0.35,0.9945431021879055,0.103302700084458,-0.014451282881151663,-0.0019314421572048516,11.865586099759614,-1.6243123340217211,-0.39134826221179536
,0.355,0.9943819628327599,0.10484078972486614,-0.01447553876883943,-0.001838363426008817,12.042721993370066,-1.62758852671234,-0.3835422661181402
